bal_150_t-1,bal_250_t-1,bal_350_t-1,bal_energy_band_low_t-1,bal_energy_band_medium_t-1,bal_energy_band_high_t-1,6004_FTF_t-1,6004_BSF_t-1,6004_BPFO_t-1,6004_BPFI_t-1,bal_150_t,bal_250_t,bal_350_t,bal_energy_band_low_t,bal_energy_band_medium_t,bal_energy_band_high_t,6004_FTF_t,6004_BSF_t,6004_BPFO_t,6004_BPFI_t
-9.8463274265,-7.8040808527,-9.5618490242,-792.4233270707,-2865.364294317,-7117.0973402426,-46.6903477388,-38.9322297218,-36.4638203248,-41.3664593131,-9.9870634098,-7.9249148259,-9.1465138851,-908.5743510174,-3076.0135964017,-7375.3745701832,-50.9354864905,-43.2037705905,-41.1245705764,-41.1959797667
-9.8189206314,-7.7957401606,-9.4546569544,-797.5907862125,-2871.5048097813,-7133.8742374015,-48.0646806661,-37.9407229891,-37.7618084492,-42.453056545,-9.917902127,-7.7733590725,-9.2710138856,-909.7169456876,-3093.4588211119,-7368.2631820735,-48.757825583,-44.6547297429,-41.7642157308,-40.6113078385
-9.5039964788,-7.7522268355,-9.4485238984,-819.924631241,-2889.8140780431,-7158.5196421076,-51.8848173837,-38.8921688272,-36.2481250539,-38.7596886037,-9.8268716377,-7.8665196572,-9.4538471044,-890.6559257165,-3076.2427310357,-7348.2520999663,-50.3547242081,-43.5699007832,-39.5205053037,-41.2469962355
-9.6884024976,-7.7067609924,-9.5868358496,-795.6869468087,-2878.2048744943,-7158.7897934965,-45.3482142529,-38.2694208491,-35.2693004684,-40.0035630398,-9.748498642,-7.6666828617,-9.1886580994,-906.475256526,-3073.8390424747,-7350.3722741815,-52.4009624035,-42.5603666826,-42.7099060236,-39.7776208359
-9.2441979199,-7.9000548312,-9.5315651025,-810.1051599843,-2854.009125323,-7173.9351191776,-49.0868004279,-38.7556163785,-36.4195959127,-41.1325818812,-9.91205227,-7.7312654486,-9.4293687235,-896.8987249401,-3077.4345060496,-7363.8693213764,-49.8008727168,-43.9822246065,-39.8797439395,-39.9703277844
-9.5473159423,-7.9144449661,-9.3769059945,-804.077489704,-2881.7507511927,-7180.793349352,-47.8504772245,-39.2397152583,-35.498659533,-39.991509901,-10.0804402859,-7.8134338406,-9.0936687742,-904.9725822696,-3064.1690641957,-7361.126417907,-51.6659064309,-42.7974338064,-41.3004262836,-40.8848701481
-9.2385373557,-7.8016840644,-9.7295779784,-821.2013192171,-2874.4708429756,-7176.9045695672,-49.8538994768,-40.2741470293,-35.6618253906,-38.1443291993,-9.8672055403,-7.78291358,-9.185355254,-903.8909566678,-3061.2783920746,-7360.3262032787,-47.0672274455,-43.2026133555,-41.3363419112,-39.8119914312
-9.1925583037,-7.6136976948,-9.3374111921,-806.8809690762,-2860.6939526713,-7143.9158615794,-50.0982707411,-39.3024615045,-40.0996268568,-41.06229009,-9.6481611978,-7.8396627537,-9.1631750874,-908.8826201312,-3085.0992397869,-7397.7387231331,-50.1339965586,-43.6938061294,-44.9783037417,-40.3966271661
-9.4417306908,-7.7596483793,-9.296902287,-795.169053862,-2848.9246486893,-7153.856645256,-48.4080035668,-39.1919782358,-36.4094124878,-39.7737723378,-9.9897952246,-7.8161875002,-9.1930704734,-903.961434679,-3076.4890279568,-7375.3699162868,-49.0272965778,-42.9320569697,-44.0377526798,-42.7087973601
-9.2434509318,-7.7602910181,-9.2646671691,-807.2603483064,-2890.9089235217,-7138.9708169906,-51.213611253,-39.107851926,-37.17630909,-39.9984088474,-9.6853873705,-7.8704249628,-9.0696152604,-917.7417915362,-3093.1537245558,-7384.6360756943,-50.6998946501,-43.3483805123,-43.4426210712,-40.5214138815
